slug,title,station,grouped,multi_group,source_surfaces,mode,raw_group_count,raw_sections,raw_kinds,detected_by_current,current_group_count,current_group_kinds,missed_by_current,program_url,sample_labels,fetch_error
chimhavisto,Chi m'ha visto,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/chimhavisto,,
christmastalesfromamerica,Christmas Tales from America,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/christmastalesfromamerica,,
ciaogigi,Ciao Gigi,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/ciaogigi,,
ciaomaschio,Ciao Maschio,,True,True,filters|tab_menu,mixed,6,episodi,group|season,True,6,group|season,False,https://www.raiplaysound.it/programmi/ciaomaschio,Stagione 7 | Stagione 6 | Stagione 5 | Stagione 4 | Stagione 3,
cinamerica,CinAmerica,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cinamerica,,
cinemaincima,Cinema in Cima,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cinemaincima,,
cinqueminuti,Cinque Minuti,,True,True,filters|tab_menu,seasonal,3,episodi,season,True,3,season,False,https://www.raiplaysound.it/programmi/cinqueminuti,Stagione 25-26 | Stagione 24-25 | Stagione 23-24,
cittasonore,Città sonore,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cittasonore,,
classicaradio,Classicaradio,radio3,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/classicaradio,,
clausura,Clausura,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/clausura,,
closefriends,Close Friends,nonameradio,True,True,tab_menu,group,2,,group,True,2,group,False,https://www.raiplaysound.it/programmi/closefriends,Episodi | Clip,
cocci,Cocci,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cocci,,
codicebeta-ognicosaedigitale,Codice Beta - Ogni cosa è digitale,,True,True,filters|tab_menu,seasonal,4,episodi,season,True,4,season,False,https://www.raiplaysound.it/programmi/codicebeta-ognicosaedigitale,Stagione 4 | Stagione 3 | Stagione 2 | Stagione 1,
colpodiluna,Colpo di Luna,,True,True,filters|tab_menu,group,3,colpo-di-luna-puntate-block,group,True,3,group,False,https://www.raiplaysound.it/programmi/colpodiluna,Puntata del 26/01/2024 | Puntata del 19/01/2024 | Puntata del 12/01/2024,
comefaisbagli,Come fai sbagli,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/comefaisbagli,,
comenasceunacanzone,Come nasce una canzone,radiokids,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/comenasceunacanzone,,
comesifarailfuturoin20minuti,Come si farà? Il futuro in 20 minuti,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/comesifarailfuturoin20minuti,,
comeunamadre,Come una madre,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/comeunamadre,,
comeuncastellodicarte,Come un castello di carte,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/comeuncastellodicarte,,
commissari-sulletraccedelmale,Commissari - Sulle tracce del male,,True,True,filters|tab_menu,seasonal,2,raiplaysound-puntate-block,season,True,2,season,False,https://www.raiplaysound.it/programmi/commissari-sulletraccedelmale,Stagione 2019/2020 | Stagione 2018/2019,
comunicazioneistituzionale,Comunicazione istituzionale,radio1,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/comunicazioneistituzionale,,
concertoperlafricaday,Concerto per l'Africa Day,radio2,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/concertoperlafricaday,,
concertoprimomaggio2025,Concerto Primo Maggio 2025,radio2,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/concertoprimomaggio2025,,
confidenzemusicali,Confidenze musicali,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/confidenzemusicali,,
congliocchidifrancesco,Con gli occhi di Francesco,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/congliocchidifrancesco,,
conigliocaos,Coniglio Caos,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/conigliocaos,,
conituoiocchiitinerariperilgiubileo,Con i tuoi occhi: itinerari per il Giubileo,radio1,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/conituoiocchiitinerariperilgiubileo,,
conlemaniconipiediconilcuore,Con le mani con i piedi con il cuore,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/conlemaniconipiediconilcuore,,
contecheticonti,Conte che ti conti,,True,True,filters|tab_menu,group,15,puntate,group,True,15,group,False,https://www.raiplaysound.it/programmi/contecheticonti,Stielis | InCjant | Lenghis - Festival dal teatri des lenghis minoritaris | Tra lis pagjinis e i Sants. Storiis e autôrs dal premi San Simon | Tito Marie al viôt il mâr,
continuiamoafarerumore,Continuiamo a fare rumore,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/continuiamoafarerumore,,
contosdecinemadesardigna,Contos de cinema de Sardigna,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/contosdecinemadesardigna,,
contromano,Contromano,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/contromano,,
controvento,Controvento,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/controvento,,
conversazione,Conversazione,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/conversazione,,
conversazionesanremoedition,Conversazione Sanremo Edition,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/conversazionesanremoedition,,
conversazioniimpertinenti,Conversazioni impertinenti,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/conversazioniimpertinenti,,
converserai,ConverseRai,,True,True,filters|tab_menu,seasonal,2,stagioni,season,True,2,season,False,https://www.raiplaysound.it/programmi/converserai,Stagione 1 | Stagione 2,
coppaitalia,Coppa Italia,radio1,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/coppaitalia,,
coppeeuropee,Coppe europee,radio1,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/coppeeuropee,,
corsadoporincorsa,Corsa dopo rincorsa,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/corsadoporincorsa,,
corsopersommelierallaradio,Corso per sommelier alla radio,radio2,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/corsopersommelierallaradio,,
cosechesuccedonolanotte,Cose che succedono la notte,radio3,True,False,tab_menu,group,1,,group,True,1,group,False,https://www.raiplaysound.it/programmi/cosechesuccedonolanotte,Episodi,
cosedifronte-storiedioggettidalmuseostoricoitalianodellaguerra,Cose di fronte - Storie di oggetti dal Museo Storico Italiano della Guerra,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cosedifronte-storiedioggettidalmuseostoricoitalianodellaguerra,,
cosenostre,Cose Nostre,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cosenostre,,
cosiparlolucianodecrescenzo,Così parlò Luciano De Crescenzo,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cosiparlolucianodecrescenzo,,
costanza,Costanza,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/costanza,,
crazyforfootball-mattiperilcalcio,Crazy for football - Matti per il calcio,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/crazyforfootball-mattiperilcalcio,,
criminiinrete,Crimini in rete,isoradio,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/criminiinrete,,
crispr-ilcodicedellavita,CRISPR - Il codice della vita,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/crispr-ilcodicedellavita,,
cronachecriminali,Cronache criminali,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cronachecriminali,,
cronachedidonneleggendarie,Cronache di donne leggendarie,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cronachedidonneleggendarie,,
cronacheeroiche,Cronache eroiche,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cronacheeroiche,,
crossover-lamusicaa360giri,Crossover - La musica a 360 giri!,isoradio,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/crossover-lamusicaa360giri,,
cucinaadaltaquota,Cucina ad alta quota,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/cucinaadaltaquota,,
cultoevangelico,Culto Evangelico,radio1,True,True,filters|tab_menu,group,5,puntate,group,True,5,group,False,https://www.raiplaysound.it/programmi/cultoevangelico,Puntate 2025 | Puntate 2024 | Puntate 2023 | Puntate 2022 | Puntate 2021,
culturaontheroad,Cultura on the road,isoradio,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/culturaontheroad,,
culturealture,Culture / Alture,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/culturealture,,
cuori,Cuori,,True,True,filters|tab_menu,seasonal,2,episodi,season,True,2,season,False,https://www.raiplaysound.it/programmi/cuori,Stagione 1 | Stagione 2,
